idPlot	OakReg	PineDen	LandUse1956	distance
6	0	986,927049	2	199,9331275
8	0	652,5191568	2	393,8155708
9	0	1073,121644	3	344,3398961
10	0	1135,43615	2	176,9373024
11	0	414,353789	2	106,5661134
12	0	1147,279391	1	15,68407902
13	0	1244,890181	2	142,8431167
14	0	682,551509	3	257,6088524
15	0	1403,425809	3	147,5782761
16	0	329,1337114	1	7,112286638
17	35	1174,534482	1	0
21	15	518,7786137	1	0
23	0	576	3	17,33427853
24	0	849,2408743	2	72,92108999
25	0	1558,263477	2	124,8854843
26	0	1520,395199	2	225,8954025
27	0	813,842775	2	85,31038136
28	25	1601,177379	2	80,60339301
29	0	1262,701098	1	0
30	0	460,9633933	1	0
31	33	1450,132408	1	0
33	0	665,5403819	1	0
37	0	1478,707544	2	220,2848843
40	0	407,9215611	2	420,9317312
41	10	149,770658	1	0
42	10	1110,740856	2	190,7431421
82	0	1421,608332	5	812,6693249
83	0	761,2154754	2	1686,335932
84	0	458,9117562	5	1233,496807
88	0	919,464654	2	1456,579518
89	0	376,9615365	2	743,0595344
90	38	681,891487	2	65,10089417
95	0	2104	5	341,3104635
96	0	515,3882032	3	171,9728851
99	0	383,1795434	3	201,758034
111	1	104,995238	5	20,53687244
113	1	318,8479261	5	356,9113949
116	50	1907,5	1	0
121	0	1132,02145	5	1592,005444
136	1	595,590096	2	485,1509617
145	0	1778,089301	2	225,2133179
147	34	309,9580617	1	0
162	2	452,244403	2	307,7961347
163	0	461,7491202	2	227,4489085
164	0	457	2	332,9389346
172	0	314,33	1	1437,636686
173	10	767,609927	2	135,8977797
181	0	115,5	1	658,4872066
182	1	168,1703006	1	445,0224865
183	0	222,7195546	1	1005,741583
184	1	299,75	1	1215,654313
185	10	614,2762001	1	1205,067986
186	25	293,8468989	1	1422,206935
189	0	313,2091953	2	1386,859543
196	0	1222,503195	3	1104,466242
197	0	356,3903232	1	0
206	1	163,2796681	1	52,50013242
207	0	241,8594633	1	329,6440421
208	0	151,1621646	1	172,9782359
211	0	118,7265766	1	446,6727521
212	0	162,25	1	644,7471921
213	2	203,9607805	1	552,3185881
214	20	210,6479587	1	781,4572432
215	0	182,33	1	885,4128799
217	0	177,33	1	572,2663754
223	1	252,7968552	1	455,7464757
228	0	778,8452991	2	369,2041284
229	0	500,1955243	5	901,2970783
232	0	887,4260533	2	970,8926864
234	0	500	5	1364,186757
235	0	1180,860385	3	2482,305908
236	6	798,851715	2	142,5091126
247	3	1816,499536	3	537,5533115
250	0	269,2582404	5	221,188532
252	0	699,7142274	5	218,7245508
253	1	1647,904427	5	353,752639
256	0	1343,317372	2	554,8925132
257	0	1301,623986	5	667,090546
266	0	448,8933615	5	128,6840291
278	0	805,0194097	2	640,5468888
280	0	904,6831282	2	317,1095126
285	0	1816,805232	3	326,7873919
286	4	705,9631718	2	212,8977023
291	0	272,0918962	2	774,9817194
292	0	937,6007946	2	847,1765151
294	0	1185,392867	2	533,2602852
301	0	1427,068674	2	562,686084
302	0	1224,499898	2	382,6934592
304	0	495,9145592	5	1815,478026
306	10	1065,064435	2	394,1467336
309	0	978,2797402	2	956,6362815
311	0	1234,363095	5	1177,814987
312	0	809,1237544	5	1295,632872
313	60	569,4253682	2	935,2521126
315	0	536,6796065	2	559,3386537
323	35	281,7800561	2	1332,279718
326	0	1038,03709	2	380,7512714
327	0	380,9858921	1	0
331	8	102,6109156	1	175,3343308
334	0	1099,295342	3	602,0649213
336	0	762,0531478	2	1164,106675
337	56	594,1172022	2	1042,493665
338	0	1752,72224	2	954,464713
342	0	1288,488092	2	672,2287681
344	0	603,1220855	2	737,469326
345	0	729,5310566	2	213,0181386
352	0	826,3477249	5	962,1723332
358	0	1634,899385	2	70,66974184
397	20	139,1997216	2	141,1570256
398	50	1158,34753	2	392,5873551
402	10	773,0349685	2	108,6099231
414	0	433,8478996	2	407,0460038
416	0	596,540862	2	374,8632398
417	0	1590,469192	2	746,7506451
418	0	191,9024817	2	785,0935878
420	2	279,5084972	2	224,2244531
421	1	133,7207912	2	539,9235577
431	1	206	2	85,33810239
432	1	320,9298989	2	526,1644679
436	20	418,7791781	1	156,7481887
437	12	206	1	0
438	1	205,6793621	2	350,831829
439	1	358,3699206	2	278,4987786
440	0	205,6793621	2	258,8661917
441	0	439,130106	2	580,0197863
442	1	786,0432558	2	779,3956402
443	1	295	2	493,4716108
450	10	227,8618002	2	156,1017947
451	0	354,5715725	2	263,3147305
452	0	330,2181097	2	207,0434323
467	0	264,8702513	1	0
469	0	609,6425182	1	0
490	0	662,9660625	2	954,3377677
492	0	1577,905336	5	337,4981478
493	0	2056	5	356,977349
501	0	1272,362468	5	318,6677774
502	0	1883,096453	5	637,4042568
504	4	1236,931688	5	0
513	0	909,3013802	3	611,3001664
514	3	1165,96623	2	79,83874409
515	8	1012,498889	2	232,908002
516	3	1124,00025	2	599,4616002
517	65	1006,23059	2	503,3486877
518	2	1009,685099	2	639,95329
522	84	1019,803903	1	0
523	155	1460,402684	1	0
524	73	1051,761885	1	0
525	72	1456,786382	3	179,5483936
529	0	119,2686044	3	321,8093549
534	75	886,1292231	1	0
535	65	390,450461	1	0
536	23	1222,250384	1	0
537	30	980,0199296	1	0
538	31	771,2976079	1	0
539	82	1548,67976	1	0
540	8	1615,708533	3	505,9126153
541	12	1247,312711	3	378,4171453
542	10	509,8456261	1	0
546	17	1535,871088	1	0
550	16	538,5164807	2	367,7701761
551	3	1112,739441	2	543,1654342
553	0	533,4372034	5	699,7467445
559	3	706,689863	2	557,4284417
578	224	385,648804	1	0
579	0	348	1	0
584	14	415,3841595	3	341,6132117
598	0	464,3210096	2	367,9672206
599	130	855,8130637	2	46,15328296
