id,date,sp,lat,long,d,id_transect,elev,loc,h,w,wr
23812,2012-09-10,Qpy,36.95995,-3.42277,14,P007,1793,CA,5.5,28.135800000000003,28.028
23813,2012-09-10,Qpy,36.95995,-3.42277,4,P007,1793,CA,2.23,0.7984758400000002,2.288
23814,2012-09-10,Qpy,36.95995,-3.42277,18,P007,1793,CA,5.7,48.201480000000004,46.331999999999994
23815,2012-09-10,Qpy,36.95995,-3.42277,19,P007,1793,CA,6.5,61.24365,51.623
23816,2012-09-10,Qpy,36.95995,-3.42277,8,P007,1793,CA,3.2,5.345280000000001,9.152
23817,2012-09-10,Qpy,36.95995,-3.42277,4,P007,1793,CA,2.1,0.7276768000000002,2.288
23818,2012-09-10,Qpy,36.95995,-3.42277,18,P007,1793,CA,7,59.1948,46.331999999999994
23819,2012-09-10,Qpy,36.95995,-3.42277,18,P007,1793,CA,6,50.7384,46.331999999999994
23821,2012-09-10,Qpy,36.95995,-3.42277,12,P007,1793,CA,6.5,24.429600000000004,20.592
23822,2012-09-10,Qpy,36.95995,-3.42277,14,P007,1793,CA,8.59,43.943004,28.028
23829,2012-09-10,Qpy,36.95995,-3.42277,5,P007,1793,CA,2.7,0.8335150000000002,3.5749999999999997
23830,2012-09-10,Qpy,36.95995,-3.42277,4,P007,1793,CA,1.4,0.34645119999999996,2.288
23831,2012-09-10,Qpy,36.95995,-3.42277,19,P007,1793,CA,8,75.3768,51.623
23833,2012-09-10,Qpy,36.95995,-3.42277,47,P007,1793,CA,11,634.2039000000001,315.887
23834,2012-09-10,Qpy,36.95995,-3.42277,42,P007,1793,CA,10.5,483.42420000000004,252.25199999999998
23835,2012-09-10,Qpy,36.95995,-3.42277,8,P007,1793,CA,4,6.6816,9.152
23836,2012-09-10,Qpy,36.95995,-3.42277,NA,P007,1793,CA,2.05,NA,NA
23837,2012-09-10,Qpy,36.95995,-3.42277,NA,P007,1793,CA,1.06,NA,NA
23838,2012-09-10,Qpy,36.95995,-3.42277,38,P007,1793,CA,11,414.5724,206.492
23839,2012-09-10,Qpy,36.95995,-3.42277,35,P007,1793,CA,11,351.69750000000005,175.17499999999998
23847,2012-09-10,Qpy,36.95995,-3.42277,NA,P007,1793,CA,1.05,NA,NA
23856,2012-09-10,Qpy,36.95995,-3.42277,28,P007,1793,CA,8.5,173.93040000000002,112.112
23860,2012-09-10,Qpy,36.95995,-3.42277,4,P007,1793,CA,2,0.6732160000000001,2.288
23861,2012-09-10,Qpy,36.95995,-3.42277,3,P007,1793,CA,1.8,0.7395156000000002,1.287
23866,2012-09-10,Qpy,36.95995,-3.42277,4,P007,1793,CA,2.1,0.7276768000000002,2.288
23867,2012-09-10,Qpy,36.95995,-3.42277,28,P007,1793,CA,8.5,173.93040000000002,112.112
23868,2012-09-10,Qpy,36.95995,-3.42277,5,P007,1793,CA,2.35,0.6412075,3.5749999999999997
23824,2012-09-10,Qpy,36.95995,-3.42277,NA,P007,1793,CA,0.12,NA,NA
23937,2012-09-10,Qpy,36.96268,-3.42251,47,P027,1849,CA,12,691.8588000000001,315.887
23938,2012-09-10,Qpy,36.96268,-3.42251,42,P027,1849,CA,12,552.4848000000001,252.25199999999998
23939,2012-09-10,Qpy,36.96268,-3.42251,50,P027,1849,CA,12,783,357.49999999999994
23943,2012-09-10,Qpy,36.96268,-3.42251,60,P027,1849,CA,11.5,1080.5400000000002,514.8
23951,2012-09-10,Qpy,36.96268,-3.42251,34,P027,1849,CA,11,331.8876,165.308
23961,2012-09-10,Qpy,36.96268,-3.42251,12,P027,1849,CA,2.25,8.4564,20.592
23972,2012-09-10,Qpy,36.96268,-3.42251,3,P027,1849,CA,1.32,0.4799114400000001,1.287
23973,2012-09-10,Qpy,36.96268,-3.42251,70,P027,1849,CA,11.5,1470.7350000000001,700.6999999999999
23974,2012-09-10,Qpy,36.96268,-3.42251,44,P027,1849,CA,10.5,530.5608,276.84799999999996
23975,2012-09-10,Qpy,36.96268,-3.42251,42,P027,1849,CA,11,506.4444000000001,252.25199999999998
23988,2012-09-10,Qpy,36.96268,-3.42251,8,P027,1849,CA,4.3,7.18272,9.152
23998,2012-09-10,Qpy,36.96268,-3.42251,42,P027,1849,CA,16,736.6464000000001,252.25199999999998
